a large number of,many
a number of,some
absence of,no
abundance,a lot
accede to,allow
accelerate,speed up
accentuate,stress
accompany,go with
accompanying,with
accomplish,do
accorded,given
according to our records,our records show
accordingly,so
accrue,gain
accurate,right
acknowledge,thank you for
acquaint yourself with,find out about
acquiesce,agree
acquire,get
additional,more
addressees,you
addressees are requested,please
adjacent to,next to
adjacent,next to
adjustment,change
admissible,ok
advantageous,helpful
adversely impact on,hurt
advise,tell
afford an opportunity,let
afforded,given
aggregate,total
aircraft,plane
aligned,in line
alleviate,ease
allocate,give
along the lines of,like
alternatively,or
ameliorate,help
amendment,change
an absence of,no
and/or,or
anticipate,expect
apparent,clear
appreciable,many
apprise,tell
appropriate to,right for
appropriate,right
approximate,about
arrive onboard,arrive
as a consequence of,because
as a means of,to
as of the date of,from
as regards,about
ascertain,learn
assemble,build
assistance,help
assist,help
at an early date,soon
at the moment,now
at the present time,now
attempt,try
attend,be at
attributable to,because of
authorise,allow
axiomatic,clear
belated,late
beneficial,helpful
benefit,help
bestow,give
breach,break
by means of,by
calculate,work out
capability,ability
caveat,warning
cease,stop
circumvent,get around
close proximity,near
combat environment,combat
combined,together
combine,mix
commence,begin
competent,able
complete,finish
completion,end
comply with,follow
component,part
comprises,includes
comprise,include
compulsory,a must
conceal,hide
concerning,about
conclusion,end
concur,agree
condition,rule
consequently,so
considerable,great
consolidate,join
constitutes,makes up
construe,interpret
consult,ask
consumption,amount used
contains,has
contemplate,think about
contrary to,despite
convene,meet
costs the sum of,costs
counter,against
courteous,polite
cumulative,added up
currently,now
customary,normal
deduct,take away
deem to be,treat as
deem,think
defer,put off
deficiency,lack of
delete,cross out
demonstrate,show
denote,show
depart,leave
depict,show
designate,choose
desire,want
despatch,send
dispatch,send
despite the fact that,although
determine,decide
detrimental,bad
difficulties,problems
diminish,reduce
disburse,pay out
disclose,show
discontinue,stop
discuss,talk about
disseminate,spread
documentation,documents
domiciled in,living in
dominant,main
due to the fact that,because
during the period,during
during which time,while
dwelling,home
economical,cheap
effect modifications,make changes
elect,choose
eligible,allowed
eliminate,cut
elucidate,explain
emphasise,stress
employ,use
empower,allow
enable,allow
enclosed,inside
encounter,meet
endeavor,try
endeavour,try
enquire,ask
enquiry,question
ensure,make sure
entitlement,right
enumerate,count
envisage,imagine
equipments,equipment
equitable,fair
equivalent,equal
erroneous,wrong
establish,set up
evidenced,showed
evident,clear
evince,prove
excessive,too much
exclude,leave out
excluding,except
exclusively,only
exempt from,free from
exhibit,show
expedite,speed up
expeditious,fast
expeditiously,quickly
expend,spend
expenditure,spending
expertise,ability
expiration,end
expire,run out
extant,current
extremity,limit
fabricate,make up
facilitate,help
factor,reason
failed to,didn’t
failure to,if you do not
feasible,possible
females,women
finalise,finish
finalize,finish
following,after
for a period of,for
for the duration of,while
for the purpose of,for
for the reason that,because
forfeit,lose
formulate,plan
